Title,Product Link,Short Description,Off {Sale},Long Description,Category,Reviews,Size1,Price1 & Fixed Price,Size2,Price2,Size3,Price3,Size4,Price4
270MG THC GUMDROPS (ELEVTD),https://herbapproach.com/product/270mg-thc-gumdrops-elevtd/,"270mg THC Gumdrops by Elevtd come in assorted flavours of Blue Raspberry, Banana and Grape. Each gumdrop contains 30mg of hybrid THC distillate",Not Avaliable on this product,"270mg THC Gumdrops by Elevtd come in assorted flavours of Blue Raspberry, Banana and Grape. Each box contains 9 gumdrops and are handcrafted in small batches, from the finest ingredients. Each gumdrop contains 30mg of hybrid THC distillate",VENDORS/ELEVTD/270MG THC GUMDROPS (ELEVTD),REVIEWS (0),,$17.00,,,,,,
CBD INSTANT COFFEE MIX (ORGANA),https://herbapproach.com/product/cbd-instant-coffee-mix-organa/,Each order includes 1 package of Instant Coffee.,Not Avaliable on this product,"Introducing Organa’s CBD Instant Coffee Mix! This blend of instant coffee and CBD oil will both wake you up and null those pains away. While the package contains 480mg CBD, each Teaspoon of coffee has 20mg CBD per serving. Mix 1 serving with approximately 6 oz of water, and adjust dosage accordingly.",CBD/CBD EDIBLES/CBD INSTANT COFFEE MIX (ORGANA),REVIEWS (21),,,,,,,,
200MG CBD HOT CHOCOLATE (ORGANA),https://herbapproach.com/product/200mg-cbd-hot-chocolate-organa/,200mg CBD Hot chocolate by Organa is a soothing and scrumptious drink for the colder months. With 25mg CBD in each cup this hot chocolate is the perfect addition to a cold winter night in.,Not Avaliable on this product,"200mg CBD Hot Chocolate (Organa)
200mg CBD Hot chocolate by Organa is a soothing and scrumptious drink for the colder months. With 25mg CBD in each cup this hot chocolate is the perfect addition to a cold winter night in.
1 bag contains 8 servings. Mix 2tbsp into hot water or milk and enjoy!
Ingredients: Hemp CBD, Sugar, Cocoa, Hydrogenated Coconut, Soy Oil, Modified Milk Ingredients, Salt",CBD/CBD EDIBLES/200MG CBD HOT CHOCOLATE (ORGANA),REVIEWS (0),,$29.99,,,,,,
200MG THC VARIETY PACK GUMMIES (SUGAR JACK’S),https://herbapproach.com/product/200mg-thc-variety-pack-gummies-sugar-jacks/,"200mg THC Variety Pack Gummies are made with all natural flavours & colours. They are handcrafted & infused with premium distillate extract during the cooking process. Our refreshing Variety Pack Gummies are sweet, juicy & delicious. Each 200mg THC Variety Pack contains 10 gummies containing 20mg of THC each",Not Avaliable on this product,"200mg THC Variety Pack Gummies are made with all natural ingredients which makes each package of gummies so delectably delicious. Sugar Jacks’ knows candy, so we know that not all sugars and sweeteners are made equal. Ingredients: Cane Sugar, Gelatin Corn Syrup, Manuka Honey, THC infused tincture, Natural Flavoring, Artificial colours Sugar Jacks Gummies are made with all natural flavours & colours. They are handcrafted, infused with premium distillate extract during the cooking process and coated with sugar for extra deliciousness. Our refreshing Variety Pack Gummies are sweet, juicy & incredibly tasty! Sugar Jacks’ uses natural cane sugar and Manuka honey sourced directly from New Zealand. Natural cane sugar gives Sugar Jack’s 200mg THC Variety Pack its signature, fun gummy chew while also providing a fuller-bodied taste compared to processed sugars. To give Sugar Jack’s 200mg THC Variety Pack their medicated kick, Sugar Jacks’ create their cannabis infusions from scratch in-house and without the use of any fillers or diluents. Their pure extract is tested at 95% and is nano-emulsified using a proprietary process to increase its solubility. This guarantees a precise dose and accurate each time. After that, each batch is also run through several quality control tests to ensure their potency and quality before they’re packaged and delivered! THC edibles offer a convenient, discreet, and healthy way to medicate with cannabis. They cause no lung irritation, and they offer a measurable and accurate dose of THC. Unlike smoking or vaping flower or cannabis concentrates, weed edibles work in a vastly different way. Instead of being absorbed by our blood, THC edibles travel through the gastrointestinal tract and is broken down before the cannabinoids are transported to our liver. Once they’re in the liver, the THC within THC edibles is transformed into 11-OH-THC, also known as 11-hydroxy-metabolite. This transformation is why edibles are a lot stronger than the smoking of regular marijuana flower. 11-OH-THC is more potent than regular THC and is metabolized by our bodies a lot slower, producing a more potent and longer-lasting effect. When it comes to dosing THC edibles, there is no “one-size-fits-all.” Your body type, your experience with cannabis, and whether or not you’ve eaten that day will all affect how long and how hard THC edibles will hit you. Figuring out a good edibles dosage comes with experimentation and time. If you’re just starting out, it’s best to go low and slow with this 200mg THC Variety Pack. Figuring out how long do edibles last also comes with experience. For most people, the effects of THC edibles will last for anywhere from 1 hour to 3 hours, with beginners experiencing upwards of 4 hours, depending on the potency and amount. Be sure to experiment with different types of edibles and dosages to find one that works best for you!",EDIBLES/GUMMIES/200MG THC VARIETY PACK GUMMIES (SUGAR JACK’S),REVIEWS (21),,$14.99,,,,,,
200MG THC GINGER MOLASSES COOKIE (SUGAR JACK’S),https://herbapproach.com/product/200mg-thc-ginger-molasses-cookie-sugar-jacks/,"Sugar jacks 200mg THC Ginger Molasses Cookie are the blend the perfect amount of spicy, peppery ginger with just the right amount of sweetness to make them irresistible. Each bag contains four 50mg cookies",Not Avaliable on this product,"Sugar jacks 200mg THC Ginger Molasses Cookie puts the ‘baked’ in baked edibles. Our Ginger Molasses Cookies blend the perfect amount of spicy, peppery ginger with just the right amount of sweetness to make them irresistible. Each ginger cookie is moist, chewy, and delicious all the way through. They’re perfect for pairing with a cup of tea or enjoyed by themselves! Each bag contains four 50mg cookies Each delectable cookie is infused with our premium, nano-emulsified THC distillate to ensure an even and accurate dosage each and every time. Ingredients: Pasty and Cake Flour, Butter, Brown Sugar, Sugar, Molasses, Eggs, THC Cannabis Tincture, Baking Soda, Salt, Ground Ginger, Cinnamon Salt (This product contains dairy & nuts)Disclaimer: For optimal taste, texture and experience, please microwave cookie for 30 seconds before indulging THC edibles offer a convenient, discreet, and healthy way to medicate with cannabis. They cause no lung irritation, and they offer a measurable and accurate dose of THC. Unlike smoking or vaping flower or cannabis concentrates, weed edibles work in a vastly different way. Instead of being absorbed by our blood, THC edibles travel through the gastrointestinal tract and is broken down before the cannabinoids are transported to our liver. Once they’re in the liver, the THC within THC edibles is transformed into 11-OH-THC, also known as 11-hydroxy-metabolite. This transformation is why edibles are a lot stronger than the smoking of regular marijuana flower. 11-OH-THC is more potent than regular THC and is metabolized by our bodies a lot slower, producing a more potent and longer-lasting effect. To keep your edibles fresher for longer, we recommend keeping them in a cool dry place, a fridge is usually the best option – especially once the packet has been opened. When it comes to dosing THC edibles, there is no “one-size-fits-all.” Your body type, your experience with cannabis, and whether or not you’ve eaten that day will all affect how long and how hard THC edibles will hit you. Figuring out a good edibles dosage comes with experimentation and time. If you’re just starting out, it’s best to go low and slow. Figuring out how long do edibles last also comes with experience. For most people, the effects of THC edibles will last for anywhere from 1 hour to 3 hours, with beginners experiencing upwards of 4 hours, depending on the potency and amount. Be sure to experiment with different types of edibles and dosages to find one that works best for you!",VENDORS/SUGAR JACK'S/200MG THC GINGER MOLASSES COOKIE (SUGAR JACK’S),REVIEWS (5),,$20.00,,,,,,
2500MG THC TINCTURE (HOOTI EXTRACTS),https://herbapproach.com/product/2500mg-thc-tincture-hooti-extracts/,2500mg THC Tincture by Hooti Extracts contains Delta-9 THC Distillate Each 30ml bottle contains 2500mg of Delta-9 THC Distillate (1ml dropper contains 83.33mg of THC),Not Avaliable on this product,2500mg THC Tincture by Hooti Extracts contains Delta-9 THC Distillate,VENDORS/HOOTI EXTRACTS/2500MG THC TINCTURE (HOOTI EXTRACTS),REVIEWS (13),,$120.00,,,,,,
150MG CHERRY SWEETHEARTS (SUGAR JACK’S),https://herbapproach.com/product/150mg-cherry-sweethearts-sugar-jacks/,Sugar Jack’s 150mg THC Cherry Sweethearts are subtly sweet and refreshing. Let your friends and family know you love them by enjoying a delicious Cherry Sweetheart together!,Not Avaliable on this product,"Sugar jacks 150mg THC Cherry Sweethearts are subtly sweet and refreshing. Let your friends and family know you love them by enjoying a delicious Cherry Sweetheart together! Each package contains 5 delicious Cherry flavoured Hearts with 30mg of THC each for a total of 150mg THC per package. Spread the love and show your affection with Sugar Jacks’ medicated Cherry Sweethearts! 
  Each 150mg pack contains 5 Sweethearts with 30mg of THC Each THC edibles offer a convenient, discreet, and healthy way to medicate with cannabis. They cause no lung irritation, and they offer a measurable and accurate dose of THC. Unlike smoking or vaping flower or cannabis concentrates, weed edibles work in a vastly different way. Instead of being absorbed by our blood, THC edibles travel through the gastrointestinal tract and is broken down before the cannabinoids are transported to our liver. Once they’re in the liver, the THC within THC edibles is transformed into 11-OH-THC, also known as 11-hydroxy-metabolite. This transformation is why edibles are a lot stronger than the smoking of regular marijuana flower. 11-OH-THC is more potent than regular THC and is metabolized by our bodies a lot slower, producing a more potent and longer-lasting effect.
  When it comes to dosing THC edibles, there is no “one-size-fits-all.” Your body type, your experience with cannabis, and whether or not you’ve eaten that day will all affect how long and how hard THC edibles will hit you. Figuring out a good edibles dosage comes with experimentation and time. If you’re just starting out, it’s best to go low and slow. Figuring out how long do edibles last also comes with experience. For most people, the effects of THC edibles will last for anywhere from 1 hour to 3 hours, with beginners experiencing upwards of 4 hours, depending on the potency and amount. Be sure to experiment with different types of edibles and dosages to find one that works best for you!",EDIBLES/GUMMIES/150MG CHERRY SWEETHEARTS (SUGAR JACK’S),REVIEWS (14),,$15.00,,,,,,
CBD INSTANT COFFEE MIX (ORGANA),https://herbapproach.com/product/cbd-instant-coffee-mix-organa/,Each order includes 1 package of Instant Coffee.,Not Avaliable on this product,"Introducing Organa’s CBD Instant Coffee Mix! This blend of instant coffee and CBD oil will both wake you up and null those pains away. While the package contains 480mg CBD, each Teaspoon of coffee has 20mg CBD per serving. Mix 1 serving with approximately 6 oz of water, and adjust dosage accordingly.",CBD/CBD EDIBLES/CBD INSTANT COFFEE MIX (ORGANA),REVIEWS (21),,,,,,,,
275MG CBD VARIETY PACK (EXOTICA FARMS),https://herbapproach.com/product/275mg-cbd-variety-pack-exotica-farms/,275mg CBD Variety Pack by Exotica Farms contains all of your favorite gummy candies in one pack!,Not Avaliable on this product,"275mg CBD Variety Pack by Exotica Farms contains all of your favorite gummy candies in one pack! Exotica Farms presents a tasty alternative to medicating, with their line of gummy candies. One pack of these candies contains 11 pieces of Variety gummies, covered in sour sugar to give a little bit of an acidic kick. Taste the difference quality can make.
CBD Content: 25mg per piece/275mg per package
Dosage: Always consult a physician for recommended dosage based on your own individual needs.
At Exotica Farms, we are a Vancouver-based society. Our Mission is to provide the Best, Highest Quality Cannabis at the Best Price.
 ",EDIBLES/GUMMIES/275MG CBD VARIETY PACK (EXOTICA FARMS),REVIEWS (3),,$33.00,,,,,,
DOUBLE DOSE DARK CHOCOLATE PEANUT BUTTER CUP 200MG THC (SWEET JANE),https://herbapproach.com/product/double-dose-dark-chocolate-peanut-butter-cup-200mg-thc-sweet-jane/,Sweet Jane’s Double Dose Dark Chocolate Peanut Butter Cup is perfect for a heavy dose of relaxation at anytime during the day. This bite sized edible provides just the right amount of buzz with 200mg of THC in each pack. Sweet Jane products are the perfect little treat.,Not Avaliable on this product,"Sweet Jane’s Double Dose Dark Chocolate Peanut Butter Cup is perfect for a heavy dose of relaxation at anytime during the day. This bite sized edible provides just the right amount of buzz with 200mg of THC in each pack. Sweet Jane products are the perfect little treat.
To keep your edibles fresher for longer, we recommend keeping them in a cool dry place, a fridge is usually the best option – especially once the packet has been opened.
When it comes to dosing THC edibles, there is no “one-size-fits-all.” Your body type, your experience with cannabis, and whether or not you’ve eaten that day will all affect how long and how hard THC edibles will hit you. Figuring out a good edibles dosage comes with experimentation and time. If you’re just starting out, it’s best to go low and slow
Insomnia | Pain | Stress | Anxiety | Lack of Appetite | Inflammation | Nausea
STRENGTH 200mg THC per package
STRAIN Hybrid
Sweet Jane Edibles has become one of Canada’s favorite award winning edible brand, supplying some of the most popular dispensaries throughout the country.We take great pride and care for each order ensuring beyond satisfaction.",VENDORS/SWEET JANE EDIBLES/DOUBLE DOSE DARK CHOCOLATE PEANUT BUTTER CUP 200MG THC (SWEET JANE),REVIEWS (8),,$15.00,,,,,,
THC MAPLE SYRUP (SWEET JANE),https://herbapproach.com/product/thc-maple-syrup-sweet-jane/,"Sweet Jane’s THC Maple Syrup is harvested directly from Mother Nature. This sweet nectar contains only the two best ingredients, maple syrup, and premium cannabis oil. Each jar contains 200mg of THC",Not Avaliable on this product,"THC Maple Syrup
Sweet Jane’s THC Maple Syrup is harvested directly from Mother Nature. This sweet nectar contains only the two best ingredients, maple syrup, and premium cannabis oil. Sweet Janes delicious maple syrup is free of artificial additives and has been produced without the use of any chemicals. It is as organic as it is pure. 1 tablespoon contains 25mg of THC. Each jar contains 200mg of THC",VENDORS/SWEET JANE EDIBLES/THC MAPLE SYRUP (SWEET JANE),REVIEWS (4),,$17.00,,,,,,
1200MG THC SATIVA BOMBS (EUPHORIA EXTRACTIONS),https://herbapproach.com/product/1200mg-thc-sativa-bombs-euphoria-extractions/,1200mg THC Sativa Bombs by Euphoria Extractions are a blast of flavour with high potency. Each bomb contains 100mg of THC so we advise you to be fully prepared before indulging.,Not Avaliable on this product,"1200mg THC Sativa Bombs (Euphoria Extractions)
1200mg THC Sativa Bombs by Euphoria Extractions are a blast of flavour with high potency. Each bomb contains 100mg of THC so we advise you to be fully prepared before indulging. Each box contains 12 bombs, with 4 different flavours. Each flavour comes with 3 bombs each.
Each box contains 4 flavours:
Dulce De Leche
Hazelnut Ganache
Cookies & Cream
Strawberry Wafer",VENDORS/EUPHORIA EXTRACTIONS/1200MG THC SATIVA BOMBS (EUPHORIA EXTRACTIONS),REVIEWS (1),,$79.99,,,,,,
400MG THC HAZELNUT SPREAD (SWEET JANE),https://herbapproach.com/product/400mg-thc-hazelnut-spread-sweet-jane/,400mg THC Hazelnut Spread by Sweet Jane is rich and creamy. Each jar of this guilt-free indulgence is packed with premium THC (25mg per tablespoon).,Not Avaliable on this product,"400mg THC Hazelnut Spread (Sweet Jane)
400mg THC Hazelnut Spread by Sweet Jane is rich and creamy. Each jar of this guilt-free indulgence is packed with premium THC (25mg per tablespoon).
While you can easily reap the therapeutic benefits of THC by eating this guilt-free spread straight from the jar, we recommend trying it on fruit, smoothies, bread, cakes, cookies, energy bars, crepes and anything you want to turn into sweet succulence!
Ingredients: Tetrahydrocannabinol, Sugar, Palm Oil, Hazelnuts, Cocoa, Skim Milk, Reduced Minerals Whey (Milk), Lecithin as an emulsifier (Soy), Vanilla (Artificial Flavor)
Each order contains 1 jar",VENDORS/SWEET JANE EDIBLES/400MG THC HAZELNUT SPREAD (SWEET JANE),REVIEWS (1),,$20.00,,,,,,
CBD INSTANT COFFEE MIX (ORGANA),https://herbapproach.com/product/cbd-instant-coffee-mix-organa/,Each order includes 1 package of Instant Coffee.,Not Avaliable on this product,"Introducing Organa’s CBD Instant Coffee Mix! This blend of instant coffee and CBD oil will both wake you up and null those pains away. While the package contains 480mg CBD, each Teaspoon of coffee has 20mg CBD per serving. Mix 1 serving with approximately 6 oz of water, and adjust dosage accordingly.",CBD/CBD EDIBLES/CBD INSTANT COFFEE MIX (ORGANA),REVIEWS (21),,,,,,,,
200MG CBD HOT CHOCOLATE (ORGANA),https://herbapproach.com/product/200mg-cbd-hot-chocolate-organa/,200mg CBD Hot chocolate by Organa is a soothing and scrumptious drink for the colder months. With 25mg CBD in each cup this hot chocolate is the perfect addition to a cold winter night in.,Not Avaliable on this product,"200mg CBD Hot Chocolate (Organa)
200mg CBD Hot chocolate by Organa is a soothing and scrumptious drink for the colder months. With 25mg CBD in each cup this hot chocolate is the perfect addition to a cold winter night in.
1 bag contains 8 servings. Mix 2tbsp into hot water or milk and enjoy!
Ingredients: Hemp CBD, Sugar, Cocoa, Hydrogenated Coconut, Soy Oil, Modified Milk Ingredients, Salt",CBD/CBD EDIBLES/200MG CBD HOT CHOCOLATE (ORGANA),REVIEWS (0),,$29.99,,,,,,
500MG THC RAINBOW STRIPS (CANNABIS COUSINS),https://herbapproach.com/product/500mg-thc-rainbow-strips-cannabis-cousins/,500mg THC Rainbow Strips by Cannabis Cousins are loaded with sour sugar and THC distillate. Each strip is infused with 50mg of THC distillate and taste absolutely delicious which makes these Sweet Treats very scary.,Not Avaliable on this product,"500mg THC Rainbow Strips by Cannabis Cousins are loaded with sour sugar and THC distillate. Each strip is infused with 50mg of THC distillate and taste absolutely delicious which makes these Sweet Treats very scary. Cannabis cousins only uses high quality THC distillate in all of their products, while ensuring properly measured doses. These rainbow strips are the perfect sweet treat for those looking to indulge with friends or discreetly in public. These edibles are made and tested in a Health Canada approved facilities.
Each 500mg package contains 10 Rainbow Strips with 50mg of THC each",EDIBLES/GUMMIES/500MG THC RAINBOW STRIPS (CANNABIS COUSINS),REVIEWS (30),,$26.00,,,,,,
2500MG CBD TINCTURE (HOOTI EXTRACTS),https://herbapproach.com/product/2500mg-cbd-tincture-hooti-extracts/,2500mg CBD Tincture by Hooti Extracts contains broad-spectrum CBD oil.,Not Avaliable on this product,"2500mg CBD Tincture by Hooti Extracts contains broad-spectrum CBD oil.
Each 30ml bottle contains 2500mg of Broad Spectrum CBD (1ml dropper contains 83.33mg of CBD)",CBD/CBD EDIBLES/2500MG CBD TINCTURE (HOOTI EXTRACTS),REVIEWS (10),,$140.00,,,,,,
35MG THC MEDICATED RAW SUGAR (FAMILY BROTHERS),https://herbapproach.com/product/35mg-thc-medicated-raw-sugar-family-brothers/,"35mg THC Medicated Raw Sugar by Family Brothers is an enhanced coffee sugar which is the perfect way to medicate in the morning, either on the go or at home.",Not Avaliable on this product,"35mg THC Medicated Raw Sugar by Family Brothers is an enhanced coffee sugar which is the perfect way to medicate in the morning, either on the go or at home. Simply add to your favourite hot beverage and stir to dissolve. Each package contains 35mg of winterized BHO. Onset is typically much faster than with edibles.
Each order contains 1 sugar pack containing 35mg of THC
Ingredients: Un-refined Cane Sugar, Winterized Cannabis Extract.",VENDORS/FAMILY BROTHERS/35MG THC MEDICATED RAW SUGAR (FAMILY BROTHERS),REVIEWS (3),,$5.50,,,,,,
25MG THC BBQ PEANUTS (FAMILY BROTHERS),https://herbapproach.com/product/25mg-thc-bbq-peanuts-family-brothers/,,Not Avaliable on this product,"25mg THC BBQ Peanuts (Family Brothers)
  Each order contains 1 pack",VENDORS/FAMILY BROTHERS/25MG THC BBQ PEANUTS (FAMILY BROTHERS),REVIEWS (0),,$8.00,,,,,,
TWONKIE SPONGE CAKE 150MG THC (EXOTICA FARMS),https://herbapproach.com/product/twonkies-exotica-farms/,Your favourite Treats are now available in a whole new way. Each mouth watering bite will be happily medicating you with 150 mg of THC per Twonkie.,Not Avaliable on this product,"Exotica Farms has brought us all some treats we know and love. Your favourite Treats are now available in a whole new way. Each mouth watering bite will be happily medicating you with 150 mg of THC per Twonkie. Try not to get too caught up in this delicious treat, its easy to over indulge on something that tastes this good! Check out the science behind cannabis and chocolate. Amazing!
1 in Each Order 
150mg THC in Each Order
Dosage – First time users should start with a quarter and wait one hour to assess if more is needed",VENDORS/EXOTICA FARMS/TWONKIE SPONGE CAKE 150MG THC (EXOTICA FARMS),REVIEWS (5),,$18.00,,,,,,
275MG THC VARIETY PACK (EXOTICA FARMS),https://herbapproach.com/product/275mg-thc-variety-pack-exotica-farms/,275mg THC Variety Pack by Exotica Farms contains all of your favorite gummy candies in one pack!,Not Avaliable on this product,"275mg THC Variety Pack by Exotica Farms contains all of your favorite gummy candies in one pack! Exotica Farms presents a tasty alternative to medicating, with their line of gummy candies. One pack of these candies contains 11 pieces of Variety gummies, covered in sour sugar to give a little bit of an acidic kick. Taste the difference quality can make.
THC Content: 25mg per piece/275mg per package
Dosage: Always consult a physician for recommended dosage based on your own individual needs.
At Exotica Farms, we are a Vancouver-based society. Our Mission is to provide the Best, Highest Quality Cannabis at the Best Price.",VENDORS/EXOTICA FARMS/275MG THC VARIETY PACK (EXOTICA FARMS),REVIEWS (4),,$33.00,,,,,,
VEGAN HEMP TRAIL MIX BAR 200MG THC (2X 100MG) (SWEET JANE),https://herbapproach.com/product/vegan-hemp-trail-mix-bar-200mg-thc-sweet-jane/,Sweet Jane’s Vegan Hemp Trail Mix Bar are perfect for snacking throughout the day or on a nice hike. These chunky edibles provide just the right amount of buzz with 100mg of THC in each Vegan Hemp Trail Mix Bar.,Not Avaliable on this product,"Sweet Jane’s Vegan Hemp Trail Mix Bar are perfect for snacking throughout the day or on a nice hike. These chunky edibles provide just the right amount of buzz with 100mg of THC in each Vegan Hemp Trail Mix Bar. Sweet Jane’s products are the perfect little treat.
To keep your edibles fresher for longer, we recommend keeping them in a cool dry place, a fridge is usually the best option – especially once the packet has been opened.
When it comes to dosing THC edibles, there is no “one-size-fits-all.” Your body type, your experience with cannabis, and whether or not you’ve eaten that day will all affect how long and how hard THC edibles will hit you. Figuring out a good edibles dosage comes with experimentation and time. If you’re just starting out, it’s best to go low and slow.
Insomnia | Pain | Stress | Anxiety | Lack of Appetite | Inflammation | Nausea
    INGREDIENTS Cannabidiol (CBD) Tetrahydrocannabinol (THC), DarkChocolate (Sugar, Cocoa Butter,Unsweetened Chocolate, Lactose, Soy Lecithin, Natural Vanilla Extract), Granola (Rolled Oats, Granulated Sugar Cane Juice. Soy Oil) Tapioca Syrup, Brown Rice Flour, Raisins, Sunflower Seeds, Invert Cane syrup, Flax Seeds, hemp Seeds, Acaia Gum, Granulated Sugar Cane Juice, sea salt, molasses, natural flavour,
Organic. Contains Soy,
May contain Wheat,  peanuts or other tree nuts.
SERVINGS 2 Trail Bars
FLAVOUR Chocolate/Nuts
STRENGTH 100mg THC per Cookie",VENDORS/SWEET JANE EDIBLES/VEGAN HEMP TRAIL MIX BAR 200MG THC (2X 100MG) (SWEET JANE),REVIEWS (10),,$15.00,,,,,,
100MG LOW DOSE PEACHY BEARS (SUGAR JACK’S),https://herbapproach.com/product/100mg-low-dose-peachy-bears-sugar-jacks/,"Sugar jacks 100mg Low Dose Peachy Bears are ‘un-bear-ably’ delicious. Each adorable, peach-flavoured bear is naturally flavoured and naturally sweetened for a naturally good time, every time.",Not Avaliable on this product,"Sugar jacks 100mg Low Dose Peachy Bears are ‘un-bear-ably’ delicious. Each adorable, peach-flavoured bear is naturally flavoured and naturally sweetened for a naturally good time, every time. Every pack of 100mg Peachy Bears includes 10 gummies containing 10mg of THC each. Our edibles are infused with premium, nano-emulsified THC distillate to ensure an even and accurate dosage each and every time.
Ingredients: Gelatin, cane sugar, corn syrup, manuka honey, THC infused cannabis tincture, citric acid, natural flavouring
Looking for higher-dosed Peachy Bears? Click here to purchase the 300mg High Dose Peachy Bears.
THC edibles offer a convenient, discreet, and healthy way to medicate with cannabis. They cause no lung irritation, and they offer a measurable and accurate dose of THC.
Unlike smoking or vaping flower or cannabis concentrates, weed edibles work in a vastly different way. Instead of being absorbed by our blood, THC edibles travel through the gastrointestinal tract and is broken down before the cannabinoids are transported to our liver.
Once they’re in the liver, the THC within THC edibles is transformed into 11-OH-THC, also known as 11-hydroxy-metabolite. This transformation is why edibles are a lot stronger than the smoking of regular marijuana flower. 11-OH-THC is more potent than regular THC and is metabolized by our bodies a lot slower, producing a more potent and longer-lasting effect.
When it comes to dosing THC edibles, there is no “one-size-fits-all.” Your body type, your experience with cannabis, and whether or not you’ve eaten that day will all affect how long and how hard THC edibles will hit you. Figuring out a good edibles dosage comes with experimentation and time. If you’re just starting out, it’s best to go low and slow.
  Figuring out how long do edibles last also comes with experience. For most people, the effects of THC edibles will last for anywhere from 1 hour to 3 hours, with beginners experiencing upwards of 4 hours, depending on the potency and amount. Be sure to experiment with different types of edibles and dosages to find one that works best for you!",EDIBLES/GUMMIES/100MG LOW DOSE PEACHY BEARS (SUGAR JACK’S),REVIEWS (2),,$12.00,,,,,,
500MG THC BLUE RASPBERRY SHARKS (CANNABIS COUSINS),https://herbapproach.com/product/500mg-thc-blue-raspberry-sharks-cannabis-cousins/,500mg THC Blue Raspberry Sharks by Cannabis Cousins are coated with sugar and THC distillate. Each shark is infused with 50mg of THC distillate and tastes absolutely delicious which makes these Sweet Treats very scary.,Not Avaliable on this product,"500mg THC Blue Raspberry Sharks by Cannabis Cousins are coated with sugar and THC distillate. Each shark is infused with 50mg of THC distillate and tastes absolutely delicious which makes these Sweet Treats very scary. Cannabis cousins only use high-quality THC distillate in all of their products, while ensuring properly measured doses. These cherry colas are the perfect sweet treat for those looking to indulge with friends or discreetly in public. These edibles are made and tested in Health Canada approved facilities.
Each 500mg package contains 10 Blue Raspberry Sharks with 50mg of THC each",EDIBLES/GUMMIES/500MG THC BLUE RASPBERRY SHARKS (CANNABIS COUSINS),REVIEWS (10),,$26.00,,,,,,
SATIVA 240MG SHATTER BROWNIES (EUPHORIA EXTRACTIONS),https://herbapproach.com/product/sativa-240mg-shatter-brownies-euphoria-extractions/,Sativa 240mg Shatter Brownies by Euphoria Extractions contains 6 beautifully crafted brownies made from full spectrum hash oil and delicious chocolate. Each 240mg box contains 6 brownies which have 40mg of THC each,Not Avaliable on this product,"Sativa 240mg Shatter Brownies by Euphoria Extractions contains 6 beautifully crafted brownies made from full spectrum hash oil and delicious chocolate. Euphoria Extractions has fine-tuned their craft over the years, using different ingredients and extraction methods. These brownies are cannabis infused and lab tested. These Shatter Brownies are derived from an sativa strainIngredients: Sugar, enriched bleached flour, cocoa, semisweet chocolate chips (sugar, unsweetened chocolate, cocoa butter, soy lecithin, vanilla extract) soybean oil, bittersweet chocolate chunks ( sugar, unsweetened chocolate, cocoa butter, soy lecithin, natural flavour), milk chocolate chunks ( sugar, cocoa butter, unsweetened chocolate, whole milk powder, soy lecithin, natural flavour), salt, baking soda, natural flavour, cannabis extract. Contains: Wheat, barley, soy, milk and eggs. May contain tree nuts and sesame seeds.",VENDORS/EUPHORIA EXTRACTIONS/SATIVA 240MG SHATTER BROWNIES (EUPHORIA EXTRACTIONS),REVIEWS (3),,$19.00,,,,,,
GUMMY BEARS 100MG THC (SQUISH EXTRACTS),https://herbapproach.com/product/gummy-bears-100mg-thc-squish-extracts/,Squish Extracts Gummy Bears are infused with premium solvent-free rosin extracted from top quality cannabis.,Not Avaliable on this product,"Squish Extracts Gummy Bears are infused with premium solvent-free rosin extracted from top quality cannabis. Each gummy bear contains 10mg of rosin with dosing carefully controlled to ensure consistent results every time.
Each Order Contains 100mg THC
10mg/ Gummy Bear
To keep your edibles fresher for longer, we recommend keeping them in a cool dry place, a fridge is usually the best option – especially once the packet has been opened.
When it comes to dosing THC edibles, there is no “one-size-fits-all.” Your body type, your experience with cannabis, and whether or not you’ve eaten that day will all affect how long and how hard THC edibles will hit you. Figuring out a good edibles dosage comes with experimentation and time. If you’re just starting out, it’s best to go low and slow
Ingredients:
Sugar, Cannabis Extracts, Artificial Flavour and Colour",EDIBLES/GUMMIES/GUMMY BEARS 100MG THC (SQUISH EXTRACTS),REVIEWS (28),,$10.00,,,,,,
250MG CBD BREATH MINTS (EXCITE MINTS),https://herbapproach.com/product/250mg-cbd-breath-mints-excite-mints/,"250mg CBD Breath Mints by Excite Mints are a convenient and delicious way to take CBD daily. Enjoy an Excite Mint on the way home from work, first thing in the morning or anytime you want to freshen up your breath.",Not Avaliable on this product,"250mg CBD Breath Mints (Excite Mints)
250mg CBD Breath Mints by Excite Mints are a convenient and delicious way to take CBD daily. Enjoy an Excite Mint on the way home from work, first thing in the morning, or anytime you want to freshen up your breath. By dissolving the mint in your mouth, CBD can be absorbed sublingually through the cannabinoid receptors under the tongue and throughout the mouth. Excite Mints are lab tested to ensure dosing accuracy.
Ingredients: Sorbitol, Hemp Extract, Peppermint, Methyl Salicylate, Magnesium Stearate, Acacia Gum, Modified Starch, Stevia
Each package contains 50 mints/5mg CBD per mint",CBD/CBD EDIBLES/250MG CBD BREATH MINTS (EXCITE MINTS),REVIEWS (0),,$22.00,,,,,,
